,t,θ,dθ,ddθ,trq,w1,w2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,1.4843613336969905e-06,0.002222611367770797,2.214526158458648,0.002659352592132498,-9.015392167690277e-07,-1.0423076465569372e-06
2,0.004,1.1808444275470311e-05,0.00882134564243299,4.373935006588331,0.0055506876257585365,-7.169123340405526e-06,-8.28942819010007e-06
3,0.006,3.96056190794685e-05,0.01967306329502314,6.465436389497655,0.008686519997520438,-2.4035453904662184e-05,-2.7794810774325283e-05
4,0.008,9.323787273920236e-05,0.034629767081207664,8.476979445020396,0.012077553189689642,-5.655678795397045e-05,-6.541190896231213e-05
5,0.01,0.00018074763719605006,0.05352017732662281,10.397347525463871,0.01573267174170059,-0.00010958065286651065,-0.00012675784621404948
6,0.012,0.00030981295069207023,0.07615148607449564,12.216241988406722,0.019658946078716787,-0.00018771574777828648,-0.00021717955179256993
7,0.014,0.0004877062871636402,0.10231126700067736,13.92435405658329,0.023861648840653872,-0.00029530425194524557,-0.0003417226159062764
8,0.016,0.0007212573409157543,0.13176951660171904,15.513424148371,0.028344281798812734,-0.0004363967297111431,-0.0005051030780465868
9,0.018000000000000002,0.00101682000376803,0.16428080116999774,16.976288286094036,0.033108612410175195,-0.0006147297895357632,-0.0007116823258779911
10,0.02,0.0013802437202434868,0.1995864834903678,18.30691139504875,0.038154719040435596,-0.0008337066213019219,-0.0009654452442765055
11,0.022,0.0018168493540009758,0.23741700302124508,19.500407507770742,0.0434810438846022,-0.0010963805023811778,-0.0012699817157869188
12,0.024,0.0023314096463980106,0.27749418354740557,20.553047081781006,0.0490844526268135,-0.0014054413292081268,-0.0016284715354622354
13,0.026000000000000002,0.0029281342965854413,0.31953354289276115,21.46225182138701,0.05496029990703122,-0.0017632051978826995,-0.002043672765320829
14,0.028,0.0036106596426076633,0.3632465802330498,22.226577561997388,0.061102499699442765,-0.002171607025051813,-0.0025179135170360478
15,0.03,0.004382042875282064,0.40834301781914484,22.845685926229436,0.06750359975367609,-0.002632196169442765,-0.0030530871164459366
16,0.032,0.005244760671763463,0.45453297547526317,23.320305592738922,0.07415485930316569,-0.003146134985314995,-0.003650650570475154
17,0.034,0.006200712094185488,0.5015290580326427,23.652184129616742,0.08104632930321018,-0.0037142002121003824,-0.004311626226479794
18,0.036000000000000004,0.007251225561061009,0.5490483378558156,23.844031433337392,0.08816693452244834,-0.0043367870798993735,-0.005036606486182051
19,0.038,0.008397069665566081,0.5968142167711608,23.89945588112307,0.09550455687391893,-0.005013915988520556,-0.005825761411516292
20,0.04,0.009638467585702018,0.6445581539714337,23.82289434920837,0.10304611943393123,-0.005745241598568641,-0.006678849038058073
21,0.042,0.010975114806800511,0.692021248801416,23.61953727236512,0.11077767065731767,-0.006530064156818127,-0.007595228193385879
22,0.044,0.012406199857002696,0.7389556696859253,23.295249922095735,0.1186844683551202,-0.007367342864820453,-0.00857387360280236
23,0.046,0.013930427741212085,0.7851259228019299,22.856491063450584,0.12675106305448217,-0.008255711089391913,-0.00961339305332797
24,0.048,0.01554604574852342,0.83030995638395,22.310230115115417,0.13496138040984784,-0.009193493206279813,-0.010712046378729606
25,0.05,0.017250871302126297,0.8743000987524147,21.663863886144718,0.14329880237908074,-0.010178722863821555,-0.01186776602346267
26,0.052000000000000005,0.01904232151896622,0.9169038302384284,20.925133897595774,0.15174624691759192,-0.011209162451671717,-0.013078178941643644
27,0.054,0.020917444148760983,0.9579443911198723,20.102045220572435,0.16028624597804722,-0.01228232356051657,-0.014340629588348239
28,0.056,0.022872949568005594,0.9972612294621335,19.202787676123826,0.16890102163280488,-0.013395488221934844,-0.015652203764429978
29,0.058,0.024905243514017007,1.0347102943554833,18.235660149362833,0.17757256016127612,-0.014545730722985178,-0.01700975308243129
30,0.06,0.027010460256493108,1.0701641814486935,17.208998672343398,0.18628268396525435,-0.015729939797473492,-0.01840991982974845
31,0.062,0.029184495919101702,1.1035121388873683,16.131108829827664,0.19501312119245304,-0.01694484100493388,-0.0198491620157338
32,0.064,0.031423041680874515,1.1346599427726962,15.010202941116795,0.20374557296251034,-0.018187019118893626,-0.02132377840158596
33,0.066,0.03372161660625046,1.1635296520627403,13.854342371479637,0.2124617781011709,-0.019452940357734157,-0.022829933325402202
34,0.068,0.03607559987310013,1.1900592534480572,12.671385230047774,0.22114357529772924,-0.020738974304154334,-0.024363681149359905
35,0.07,0.03848026218957705,1.2142022071541787,11.468939618812447,0.22977296260870245,-0.022041415372647935,-0.025920990171378385
36,0.07200000000000001,0.040930796212818796,1.235926904865123,10.254322510774971,0.23833215423753823,-0.023356503698289673,-0.027497765859521957
37,0.074,0.04342234580500837,1.2552160510370463,9.034524255359221,0.2468036345264215,-0.024680445334265038,-0.02908987328358945
38,0.076,0.045950033984793914,1.2720659787935973,7.816178636652437,0.25517020910228505,-0.026009431659775217,-0.030693158634563112
39,0.078,0.04850898945425218,1.2864859113796703,6.60553834543802,0.2634150531252694,-0.027339657914013993,-0.03230346973864986
