,t,θ,dθ,ddθ,trq,w1,w2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,-0.0005417967277373619,8.43880486976685e-05,0.05147850627159481,7.817213324223677e-05,-4.2751118607006867e-08,-4.8488598445022524e-08
2,0.004,-0.002113290796323945,0.00013588679307574016,-0.00519417764000063,9.192956910675013e-07,-1.9289874547138722e-07,-2.1881330355888266e-07
3,0.006,-0.0046360628842326435,7.05107267510555e-05,-0.0536140190074905,-7.07058895432636e-05,-3.326439045703313e-07,-3.7741123141541726e-07
4,0.008,-0.00803485824614954,-4.5527642820701325e-05,-0.05417071469293086,-7.743121313210422e-05,-3.5017335717968784e-07,-3.9748094237141856e-07
5,0.01,-0.012237502308187147,-0.00011877876800168396,-0.014965815197499285,-2.5975888701170533e-05,-2.4226350703634345e-07,-2.7534341568666095e-07
6,0.012,-0.017174817798023954,-0.0001011406263277109,0.029802164582594402,3.792376725629861e-05,-9.862220649012577e-08,-1.1270354464265952e-07
7,0.014,-0.02278054339161143,-2.5511108592394883e-05,0.03542463664590287,4.9385250200945414e-05,-2.053382220127805e-08,-2.4409170790269866e-08
8,0.016,-0.028991253858218866,-1.5286197692707777e-05,-0.042527636707579676,-6.14077888176871e-05,-1.2636600951409935e-08,-1.5720612196757063e-08
9,0.018000000000000002,-0.035746281685717154,-0.00027622511894681795,-0.24118083591052664,-0.00035944971120433237,1.2523425237889248e-07,1.403872149412834e-07
10,0.02,-0.042987640168129455,-0.00107732423537045,-0.5862462389047696,-0.0008986277413404951,8.885569497782668e-07,1.0059710266664213e-06
11,0.022,-0.05065994793760399,-0.002725792949938423,-1.0901195528333736,-0.0017181062502906264,3.1306499705505684e-06,3.549204040495417e-06
12,0.024,-0.058710354923093955,-0.005539957716111277,-1.7516195345263652,-0.002840732498338867,8.092388709938052e-06,9.178332047702343e-06
13,0.026000000000000002,-0.06708846971815509,-0.009822888011173982,-2.5569009197131223,-0.004272941000454012,1.7398378242468683e-05,1.9737667994552817e-05
14,0.028,-0.07574628834039979,-0.015838700320196106,-3.481165018682361,-0.0060057350065371926,3.3021787255450386e-05,3.746811853606208e-05
15,0.03,-0.08463812436527182,-0.023792819128324868,-4.490864489647853,-0.008016405588906607,5.7222050451808084e-05,6.49370009881081e-05
16,0.032,-0.09372054041693118,-0.03381693040989973,-5.546159812976425,-0.01027071559333981,9.246089310878573e-05,0.00010494331800014412
17,0.034,-0.10295228099916709,-0.04595893148919142,-6.6034363778982605,-0.012725330677013388,0.00014130277291426758,0.00016040538138100278
18,0.036000000000000004,-0.11229420664937942,-0.06017784425045103,-7.617734813753178,-0.015330325543519515,0.0002063059979904286,0.00023423786024837466
19,0.038,-0.12170922939879705,-0.07634340269141772,-8.544984686553297,-0.01803163232174193,0.00028991057463302643,0.00032922509502230236
20,0.04,-0.13116224952221994,-0.09423983936187265,-9.343963942019112,-0.020773331260803038,0.0003943283569032893,0.0004478969732965925
21,0.042,-0.1406200935607049,-0.11357326857902901,-9.977934178456907,-0.023499712494156614,0.0005214403930980403,0.0005924128972143722
22,0.044,-0.1500514536007298,-0.13398198882774467,-10.415925415085333,-0.02615706218199306,0.0006727055603471374,0.0007644584627907304
23,0.046,-0.15942682779350276,-0.15504899451352913,-10.63366377478137,-0.028695147253830607,0.0008490837070277486,0.0009651584862606034
24,0.048,-0.1687184620981941,-0.17631599081713417,-10.614151643791747,-0.031068390485935786,0.0010509756327569497,0.0011950090068361422
25,0.05,-0.17790029323300852,-0.19729823778562178,-10.347922599795664,-0.03323674193364336,0.0012781813679001758,0.0014538299149501825
26,0.052000000000000005,-0.18694789281811752,-0.21749960437133467,-9.833002927273448,-0.03516626396175934,0.0015298774008155823,0.0017407389362616291
27,0.054,-0.195838412694611,-0.23642728373955335,-9.07461810802664,-0.036829455456136515,0.0018046127654894129,0.002054146871518033
28,0.056,-0.20455053140373486,-0.25360570217895834,-8.08468657473699,-0.03820534648286618,0.0021003232614906324,0.002391773269596179
29,0.058,-0.21306440181081365,-0.26858924034869475,-6.881144568263607,-0.039279397949499466,0.0024143625423127093,0.0027506811069312014
30,0.06,-0.2213615998583703,-0.2809734730507124,-5.487145502739879,-0.040043242026284925,0.0027435483813461918,0.003127328565735296
31,0.062,-0.22942507443307403,-0.29040471861076744,-3.9301751841050128,-0.04049429853523547,0.003084222106123116,0.0035176356449059167
32,0.064,-0.23723909833127832,-0.2965877684262263,-2.241120918768444,-0.04063530056015152,0.0034323189762088444,0.003917063095743914
33,0.066,-0.24478922030801584,-0.29929173915300955,-0.4533283505900357,-0.04047375952351595,0.0037834471601539345,0.004320701040405856
34,0.068,-0.2520622181944462,-0.29835405291531286,1.3983248959715826,-0.04002139624311848,0.0041329729319627626,0.004723364592717445
35,0.07,-0.2590460530688683,-0.2936826040174343,3.2783147104500534,-0.03929356033364339,0.004476109745856209,0.005119693845280257
36,0.07200000000000001,-0.26572982446652255,-0.285256213650652,5.151296102652344,-0.03830865602415766,0.004808008947277464,0.00550425569964101
37,0.074,-0.27210372661353693,-0.27312350721830325,6.982854728673249,-0.03708758824329754,0.005123850025626513,0.005871645183531178
38,0.076,-0.2781590056704773,-0.2574003727147668,8.740174616762673,-0.03565323886927166,0.005418928498081668,0.006216584107222204
39,0.078,-0.283887917971082,-0.23826617392390007,10.392616375474661,-0.0340299794770825,0.005688739722910698,0.006534015147259922
40,0.08,-0.28928368924188413,-0.21595890007529553,11.91220362382653,-0.03224322383687217,0.005929057164873244,0.006819189698928589
41,0.082,-0.2943404747885336,-0.1907694351342341,13.274018263079848,-0.030319020873635867,0.006136003865986873,0.007067748098951294
42,0.084,-0.2990533206347479,-0.16303512626835917,14.45650750931225,-0.028283686807543933,0.006306116104809773,0.007275791078972698
43,0.08600000000000001,-0.30341812559994064,-0.1331328233681868,15.441707351424375,-0.026163473739781708,0.0064363984506555704,0.007439941561729959
44,0.088,-0.30743160430168603,-0.10147155086382291,16.215388330407873,-0.023984271000937304,0.00652436963134454,0.007557396150490408
45,0.09,-0.31109125106929736,-0.06848496045601256,16.767130313432318,-0.021771335081120984,0.006568098831031715,0.007625965884757313
46,0.092,-0.31439530475490735,-0.03462369959645293,17.090333323132825,-0.01954904385407566,0.0065662322162874445,0.007644106039133644
47,0.094,-0.31734271442855516,-0.0003478163344637887,17.18217154938278,-0.017340671021158157,0.006518009652866032,0.007610934926405907
48,0.096,-0.3199331059438978,0.03388069294704916,17.043497487185252,-0.015168177163908883,0.006423271722212701,0.007526241830090776
49,0.098,-0.32216674936127543,0.06760509991220333,16.678702775163824,-0.013052014438813379,0.0062824572760870655,0.007390484336312109
50,0.1,-0.32404452721497373,0.10038084443420257,16.09554181633448,-0.011010942708174438,0.006096591880552142,0.007204775460910199
51,0.10200000000000001,-0.32556790361163906,0.1317820497998942,15.304923701421988,-0.009061855716082062,0.005867267598136861,0.006970861076449715
52,0.10400000000000001,-0.3267388941469129,0.16140759466168042,14.320677368105171,-0.007219616740348646,0.005596614640554027,0.006691088236810912
53,0.106,-0.32756003662746647,0.18888669272232483,13.159294359439691,-0.005496903929590012,0.005287265495340755,0.00636836507591985
54,0.108,-0.3280343625857227,0.21388393931754102,11.839653016151113,-0.0039040662398021446,0.004942312189552814,0.006006113023462434
