時間,ひずみ電圧[1mm],先端の変位[1mm],ひずみ電圧[0.8mm],先端の変位[0.8mm],トルク[ノイズカット]
0.164,-1.226807,-0.04023927,-1.087952,-0.044606032,0.3674247
0.166,-1.272583,-0.041740722,-1.130981,-0.046370221,0.3569328
0.168,-1.323853,-0.043422378,-1.177368,-0.048272088,0.3479952
0.17,-1.366272,-0.044813722,-1.224976,-0.050224016,0.3981234
0.172,-1.416016,-0.046445325,-1.272583,-0.052175903,0.4416455
0.174,-1.457825,-0.04781666,-1.325073,-0.054327993,0.4093925
0.176,-1.526489,-0.050068839,-1.374207,-0.056342487,0.4542747
0.178,-1.547546,-0.050759509,-1.420288,-0.058231808,0.4991569
0.18,-1.589661,-0.052140881,-1.480408,-0.060696728,0.5150891
0.182,-1.630249,-0.053472167,-1.526184,-0.062573544,0.4770072
0.184,-1.672974,-0.054873547,-1.585999,-0.065025959,0.47195555
0.186,-1.712036,-0.056154781,-1.646729,-0.067515889,0.4669039
0.188,-1.742554,-0.057155771,-1.696167,-0.069542847,0.5030428
0.19,-1.793213,-0.058817386,-1.731873,-0.071006793,0.5228609
0.192,-1.859741,-0.060999505,-1.775818,-0.072808538,0.5049858
0.194,-1.882629,-0.061750231,-1.820679,-0.074647839,0.501877
0.196,-1.91803,-0.062911384,-1.860962,-0.076299442,0.5401532
0.198,-1.955872,-0.064152602,-1.908569,-0.078251329,0.5784294
0.2,-1.961975,-0.06435278,-1.960754,-0.080390914,0.5566683
0.202,-2.039185,-0.066885268,-2.016602,-0.082680682,0.5718233
0.204,-2.069092,-0.067866218,-2.056885,-0.084332285,0.6227287
0.206,-2.103577,-0.068997326,-2.107239,-0.086396799,0.5753206
0.208,-2.14325,-0.0702986,-2.154236,-0.088323676,0.5737663
0.21,-2.1875,-0.07175,-2.204895,-0.090400695,0.6114596
0.212,-2.237549,-0.073391607,-2.243042,-0.091964722,0.6211743
0.214,-2.286072,-0.074983162,-2.273865,-0.093228465,0.6270032
0.216,-2.351379,-0.077125231,-2.32666,-0.09539306,0.6359408
0.218,-2.389526,-0.078376453,-2.372437,-0.097269917,0.6421582
0.22,-2.462769,-0.080778823,-2.406921,-0.098683761,0.6771313
0.222,-2.485046,-0.081509509,-2.455139,-0.100660699,0.6880119
0.224,-2.537842,-0.083241218,-2.514954,-0.103113114,0.7225964
0.226,-2.58606,-0.084822768,-2.546082,-0.104389362,0.7086072
0.228,-2.646484,-0.086804675,-2.592163,-0.106278683,0.7194877
0.23,-2.678223,-0.087845714,-2.77771,-0.11388611,0.716379
0.232,-2.738953,-0.089837658,-2.66571,-0.10929411,0.665085
0.234,-2.782898,-0.091279054,-2.721252,-0.111571332,0.6977266
0.236,-2.82959,-0.092810552,-2.761536,-0.113222976,0.726288
0.238,-2.885437,-0.094642334,-2.793884,-0.114549244,0.7548494
0.24,-2.937622,-0.096354002,-2.845764,-0.116676324,0.8088635
0.242,-2.984009,-0.097875495,-2.898865,-0.118853465,0.8092521
0.244,-3.041077,-0.099747326,-2.944336,-0.120717776,0.7769991
0.246,-3.077393,-0.10093849,-3.085022,-0.126485902,0.7385286
0.248,-3.132935,-0.102760268,-3.052979,-0.125172139,0.791377
0.25,-3.155518,-0.10350099,-3.103027,-0.127224107,0.8143038
