,t,θ,dθ,ddθ,trq,w1,w2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002,1.614890320725493e-07,0.00024223155581666714,0.24222657510945692,0.0002871440372675929,-9.815131658139394e-08,-1.1338954137966162e-07
2,0.004,1.2918644424102668e-06,0.0009688664562548592,0.48439338443601954,0.0006068236713818711,-7.849007544322203e-07,-9.068569278192621e-07
3,0.006,4.359773551059625e-06,0.002179725415025764,0.7264406769431063,0.0009628225913638992,-2.6478163880377896e-06,-3.0595990620630007e-06
4,0.008,1.0333385620622368e-05,0.0038745096707997785,0.9683087310831227,0.0013589047709375059,-6.272872976962386e-06,-7.249420410486595e-06
5,0.01,2.018015297497257e-05,0.006052801060921391,1.209937869532859,0.0017988113878990698,-1.2243936847576937e-05,-1.4152259411155156e-05
6,0.012,3.486657229486994e-05,0.008714062124584556,1.4512684739179769,0.0022862577583956465,-2.1142252707410155e-05,-2.4441716158596363e-05
7,0.014,5.535794614937143e-05,0.011857636235443132,1.6922409995229517,0.002824930288097795,-3.354593275140899e-05,-3.878858161959151e-05
8,0.016,8.261814482186687e-05,0.015482747763623562,1.93279598998284,0.003418483442241445,-5.00294484175622e-05,-5.786036863338678e-05
9,0.018000000000000002,0.00011760936848950392,0.019588502267099975,2.172874091953247,0.004070536736500765,-7.116312514727447e-05,-8.232084494870262e-05
10,0.02,0.00016129190981469633,0.024173886712384386,2.412416069754878,0.004784671750639672,-9.751264050357918e-05,-0.00011282956854877001
11,0.022,0.00021462391700727667,0.029237769724477454,2.651362819989053,0.005564429166874481,-0.00012963852599774778,-0.0001500414255143509
12,0.024,0.00027856115741574486,0.0347789018660185,2.889655386120589,0.006413305834863904,-0.00016809567297209374,-0.00019460617067330492
13,0.026000000000000002,0.00035405678170601567,0.04079591594556531,3.1272349730244424,0.007334751865224536,-0.00021343284288378257,-0.0002471679712837483
14,0.028,0.0004420610886857432,0.0472873273549283,3.3640429614925234,0.008332167753451886,-0.0002661921823312475,-0.0003083649539962128
15,0.03,0.000543521290832274,0.054251534435475236,3.60002092269711,0.009408901536106195,-0.0003269087431613754,-0.0003788287553384541
16,0.032,0.0006593812805821654,0.06168681887331672,3.835110632607292,0.010568245981101931,-0.00039611000799197343,-0.00045918407596468345
17,0.034,0.0007905813974398837,0.0695913461232742,4.06925408635487,0.011813435813917087,-0.00047431542148015297,-0.0005500482389089982
18,0.036000000000000004,0.0009380581959630265,0.07796316586152674,4.302393512546194,0.013147644981515369,-0.0005620359276631821,-0.0006520307520806745
19,0.038,0.0011027442146815953,0.08680021246682423,4.534471387516396,0.014573983955749645,-0.0006597735136940555,-0.000765732875236759
20,0.04,0.0012855677460079757,0.09610030553014834,4.76543044952248,0.016095497077989795,-0.0007680207602895247,-0.0008917471916650461
21,0.042,0.0014874526071947283,0.10586115039269588,4.9952137128718075,0.01771515994669115,-0.0008872603992036157,-0.0010306571848080735
22,0.044,0.001709317912396474,0.11608033871205176,5.223764481982474,0.01943587684959229,-0.001017964878034744,-0.001183036820056198
23,0.046,0.0019520778458922707,0.12675534905641123,5.451026365372077,0.02126047824220223,-0.0011605959326694219,-0.0013494501319351259
24,0.048,0.0022166414365243077,0.13788354752670529,5.676943289571482,0.023191718274207747,-0.0013156041676602387,-0.0015304508169104861
25,0.05,0.0025039123334085916,0.14946218840647638,5.901459512960111,0.025232272365399627,-0.0014834286448302952,-0.0017265818320291284
26,0.052000000000000005,0.002814788582973128,0.1614884148393422,6.124519639519353,0.027384734832686938,-0.0016644964803905764,-0.001938374999613823
27,0.054,0.0031501624073783222,0.17395925953388278,6.346068632500698,0.0296516165697344,-0.001859222450850871,-0.0021663506182249236
28,0.056,0.00351091998437459,0.18687164549577495,6.566051828005235,0.03203534278072472,-0.0020680086079987972,-0.002411017080099338
29,0.058,0.0038979412286512154,0.20022238678699478,6.784414948471153,0.03453825076971413,-0.0022912439032152492,-0.002672870495273826
30,0.06,0.004312099574730555,0.21400818931190016,7.001104116065918,0.037162587787012966,-0.002529303821388185,-0.0029523943225962324
31,0.062,0.0047542617614611425,0.2282256516299995,7.2160658659798145,0.03991050893398807,-0.002782550024680097,-0.003250059007824731
32,0.064,0.005225287618162895,0.24287126579520618,7.429247159617588,0.0427840751276464,-0.0030513300063977735,-0.003566321629011545
33,0.066,0.005726029852477071,0.257941418221372,7.640595397684941,0.04578525112632151,-0.0033359767552060735,-0.00390162554936389
34,0.068,0.006257333839973379,0.27343239057388535,7.850058433166598,0.048915903617746226,-0.003636808429920369,-0.004256400077771092
35,0.07,0.006820037415566224,0.28934036068711444,8.057584584192812,0.05217779937075573,-0.003954128045105138,-0.004631060137182909
36,0.07200000000000001,0.007414970666791522,0.3056614035074702,8.263122646791109,0.05557260345182485,-0.004288223167698831,-0.005026005941020121
37,0.074,0.008042955728994978,0.32239149206185347,8.466621907520064,0.05910187750760381,-0.004639365624877662,-0.005441622677794357
38,0.076,0.008704806582482544,0.33952649845125166,8.668032155982127,0.06276707811457351,-0.005007811223363354,-0.005878280204109987
39,0.078,0.009401328851682792,0.3570621948692341,8.867303697212247,0.0665695551969023,-0.00539379948037213,-0.006336332746216622
40,0.08,0.010133319606371368,0.3749942546451021,9.064387363939392,0.07051055051354005,-0.005797553366394383,-0.006816118610276481
41,0.082,0.010901567165005911,0.3933182533114292,9.259234528717824,0.07459119621554627,-0.006219279059986425,-0.007317959901506434
42,0.084,0.01170685090022003,0.4120296696957324,9.451797115925197,0.0788125134746018,-0.006659165714747688,-0.007842162252350092
43,0.08600000000000001,0.012549941046525109,0.43112388703600407,9.642027613624496,0.08317541118361144,-0.00711738523864847,-0.008389014559830675
44,0.088,0.013431598510266218,0.45059619411982804,9.829879085286883,0.08768068473026001,-0.0075940920858650505,-0.008958788732230865
45,0.09,0.014352574681879946,0.47044178644680185,10.015305181372616,0.09232901484433853,-0.008089423061270562,-0.009551739445241016
46,0.092,0.015313611250500151,0.4906557674139749,10.198260150767073,0.09712096651961172,-0.008603497137721535,-0.010168103907712445
47,0.094,0.016315440020957,0.5112331495240112,10.378698852069169,0.10205698801095314,-0.009136415286271416,-0.01080810163714758
48,0.096,0.017358782733215436,0.5321688556157821,10.556576764729327,0.10713740990742612,-0.009688260319433688,-0.01147193424505391
49,0.098,0.018444350884296246,0.5534577201170766,10.73185000003423,0.11236244428194345,-0.01025909674760852,-0.012159785232283681
50,0.1,0.019572845552725197,0.5750944903191313,10.904475311935748,0.11773218391809084,-0.01084897064877801,-0.012871819794476236
51,0.10200000000000001,0.020744957225552117,0.5970738276726564,11.07441010772121,0.12324660161465263,-0.011457909551566217,-0.013608184637714892
52,0.10400000000000001,0.021961365627983682,0.6193903091050443,11.24161245852255,0.12890554956832956,-0.012085922331751297,-0.014369007804505009
53,0.106,0.023222739555671387,0.6420384283584297,11.406041109661606,0.13470875883509165,-0.012732999122308,-0.015154398510174787
54,0.108,0.024529736709696146,0.6650125973482788,11.56765549082911,0.14065583887056032,-0.013399111237049767,-0.015964446989795066
55,0.11,0.02588300353429053,0.6883071475421622,11.726415726094796,0.14674627714976657,-0.01408421110793065,-0.0167992243557091
56,0.112,0.027283175057338217,0.7119163313583841,11.88228264374619,0.152979438866583,-0.014788232236058107,-0.017658782465757996
57,0.114,0.02873087473369031,0.7358343235841086,12.035217785953655,0.1593545667130788,-0.015511089156458605,-0.018543153802282095
58,0.116,0.030226714291337428,0.7600552228126479,12.18518341825926,0.16587078073899936,-0.016252677416628808,-0.019452351361973118
59,0.11800000000000001,0.0317712935804746,0.7845730528995422,12.332142538887233,0.1725270782915223,-0.017012873568895984,-0.02038636855664662
60,0.12,0.03336520042549766,0.8093817644370851,12.476058887873542,0.17932233403539374,-0.017791535176601998,-0.02134517912499856
61,0.122,0.03500901047996585,0.8344752362469263,12.616896956012543,0.18625530005349972,-0.018588500834116162,-0.022328737055404543
62,0.124,0.03670328708456853,0.8598472768903774,12.754621993618324,0.19332460602787938,-0.01940359020067296,-0.023336976519814537
63,0.126,0.03844858112812865,0.88549162619606,12.889200019098691,0.20052875950113752,-0.020236604048021464,-0.024369811818790433
64,0.128,0.04024543091167969,0.9114019568045083,13.02059782733959,0.20786614621816607,-0.021087324321864193,-0.02542713733772816
65,0.13,0.04209436201564767,0.9375718757293482,13.148782997897973,0.21533503054803382,-0.021955514217053853,-0.02650882751430049
66,0.132,0.04399588717017204,0.9639949259346747,13.273723903001091,0.22293355598586045,-0.02284091826650744,-0.027614736817150973
67,0.134,0.045950506128597385,0.9906645879282254,13.395389715350134,0.23065974573443535,-0.023743262443787907,-0.028744699735863913
68,0.136,0.04795870554416653,1.0175742813699709,13.513750415726438,0.23851150336530058,-0.024662254279294724,-0.029898530782229486
69,0.138,0.05002095884994629,1.0447173666957115,13.628776800398244,0.24648661355896598,-0.02559758298999548,-0.03107602450281758
70,0.14,0.052137726142014874,1.072087146755296,13.740440488326321,0.25458274292387767,-0.026548919622621757,-0.03227695550286813
71,0.14200000000000002,0.05430945406594019,1.0996768684650358,13.848713928166529,0.2627974408937144,-0.027515917210243643,-0.03350107848150014
72,0.14400000000000002,0.05653657570657645,1.1274797244739339,13.953570405067715,0.27112814070253916,-0.028498210942128288,-0.03474812827823584
73,0.146,0.058819510481207295,1.155488854843292,14.054984047263208,0.2795721604372868,-0.029495418346779143,-0.03601781993083073
74,0.148,0.06115866403606054,1.183697348739302,14.152929832454275,0.28812670416702235,-0.030507139488043847,-0.0373098487443947
75,0.15,0.06355442814622143,1.2120982461381882,14.247383593984022,0.296788863148358,-0.03153295717417001,-0.038623890371783536
76,0.152,0.06600718061896754,1.2406845395434876,14.338322026800128,0.305555617106373,-0.03257243717967956,-0.039959600905234684
77,0.154,0.06851728520055081,1.2694491757150497,14.425722693205044,0.31442383559033343,-0.03362512847992385,-0.04131661697921526
78,0.156,0.07108509148644851,1.2983850574093128,14.509564028392129,0.32339027940346654,-0.03469056349817338,-0.042694555884444874
79,0.158,0.07371093483510577,1.3274850451304467,14.589825345766476,0.3324516021059978,-0.03576825836508762,-0.04409301569305009
80,0.16,0.07639513628519098,1.356741958891913,14.666486842049004,0.3416043515906176,-0.03685771319040214,-0.04551157539480165
81,0.162,0.07913800247638406,1.386148579988022,14.739529602162603,0.35084497172949863,-0.03795841234666244,-0.04694979504438029
82,0.164,0.081939825573718,1.4156976527750365,14.80893560389918,0.3601698040919451,-0.039069824764825546,-0.04840721591961108
83,0.166,0.08480088319549152,1.445381886461403,14.874687722366366,0.36957508973171094,-0.04019140424154278,-0.04988336069060092
84,0.168,0.08772143834477052,1.475193956906631,14.93676973421278,0.3790569710429834,-0.0413225897579294,-0.051377733599708285
85,0.17,0.09070173934449638,1.5051265084284275,14.995166321630965,0.3886114936839877,-0.042462805809619024,-0.052889820652268736
86,0.17200000000000001,0.0937420197762159,1.5351721556175935,15.049863076136775,0.3982346085671266,-0.04361146274789339,-0.05441908981799433
87,0.17400000000000002,0.09684249842244858,1.5653234851602686,15.100846502124485,0.40792217391453295,-0.044767957131670616,-0.05596499124295983
88,0.176,0.10000337921270508,1.5955730576670513,15.148104020196612,0.41766995737786794,-0.045931672090127974,-0.05752695747208296
89,0.178,0.10322485117317097,1.6259134095085606,15.191623970267699,0.42747363822116763,-0.04710197769572795,-0.05910440368200083
90,0.18,0.10650708838006728,1.6563370546569716,15.231395614441277,0.4373288095654937,-0.04827823134740978,-0.06069672792423941
91,0.182,0.1098502499166996,1.6868364865330827,15.267409139659248,0.4472309806941157,-0.049459778163701416,-0.06230331137856756
92,0.184,0.11325447983420678,1.7174041798584505,15.299655660123161,0.45717557941691045,-0.05064595138550082,-0.06392351861642201
93,0.186,0.11671990711601853,1.7480325925121432,15.328127219486605,0.46715795449263126,-0.05183607278826853,-0.06555669787428478
94,0.188,0.12024664564603066,1.7787141673916385,15.352816792818322,0.4771733781076634,-0.053029453103367555,-0.06720218133688896
95,0.19,0.12383479418050591,1.8094413342774354,15.37371828833554,0.4872170484098521,-0.05422539244828035,-0.06885928543012441
96,0.192,0.12748443632370726,1.8402065117008846,15.390826548907004,0.4972840920959494,-0.05542318076542667,-0.07052731112350936
97,0.194,0.13119564050726992,1.8710021088148066,15.404137353325407,0.5073695670512031,-0.056622098269300536,-0.0722055442420895
98,0.196,0.13496845997331675,1.9018205272664166,15.413647417348923,0.5174684650395701,-0.05782141590163876,-0.07389325578762099
99,0.198,0.13880293276132175,1.9326541630721084,15.419354394511569,0.5275757144430155,-0.05902039579432816,-0.07558970226888935
100,0.2,0.14269908169872414,1.9634954084936203,15.421256876702122,0.5376861830483193,-0.06021829173975355,-0.07729412604101112
101,0.202,0.1466569143952962,1.9943366539151328,15.419354394511569,0.5477946808797924,-0.06141434966828322,-0.07900575565356105
102,0.20400000000000001,0.1506764232412657,2.025170289720825,15.413647417348923,0.557895963076272,-0.06260780813258422,-0.08072380620736262
103,0.20600000000000002,0.15475758540919338,2.0559887081724346,15.404137353325403,0.5679847328107372,-0.06379789879845482,-0.08244747971977538
104,0.20800000000000002,0.1589003628596052,2.086784305286357,15.390826548907004,0.5780556442508659,-0.06498384694185731,-0.08417596549830826
105,0.21,0.16310470235037836,2.117549482709806,15.373718288335544,0.5881033055588212,-0.0661648719518299,-0.08590844052238367
106,0.212,0.1673705354498776,2.1482766495956027,15.35281679281832,0.5981222819285406,-0.06734018783895265,-0.08764406983307284
107,0.214,0.1716977785538399,2.1789582244750987,15.328127219486603,0.6081070986587686,-0.06850900374903844,-0.08938200693061893
108,0.216,0.17608633290600265,2.2095866371287913,15.299655660123161,0.618052244260059,-0.06967052448171639,-0.09112139417956011
109,0.218,0.18053608462246998,2.2401543304541587,15.26740913965925,0.6279521735939457,-0.0708239510135719,-0.0928613632212612
110,0.22,0.18504690471981217,2.2706537623302707,15.231395614441277,0.6378013110424702,-0.07196848102550409,-0.09460103539365816
111,0.222,0.18961864914689036,2.3010774074786804,15.191623970267699,0.647594053706219,-0.07310330943395861,-0.0963395221580162
112,0.224,0.19425115882039892,2.3314177593201895,15.14810402019661,0.6573247746290269,-0.07422762892569114,-0.09807592553249853
113,0.226,0.19894425966411677,2.361667331826972,15.100846502124485,0.666987826047464,-0.07534063049571414,-0.09980933853233918
114,0.228,0.20369776265185863,2.3918186613696473,15.049863076136779,0.6765775426632247,-0.07644150398807732,-0.10153884561640968
115,0.23,0.20851146385411354,2.421864308558813,14.995166321630967,0.6860882449365149,-0.07752943863913025,-0.10326352313996606
116,0.232,0.21338514448836218,2.4517968600806093,14.936769734212785,0.6955142423985171,-0.0786036236229135,-0.10498243981335954
117,0.234,0.21831857097305768,2.4816089305258373,14.874687722366367,0.7048498369810097,-0.07966324859832313,-0.10669465716649061
118,0.23600000000000002,0.22331149498525868,2.511293164212204,14.808935603899187,0.7140893263611933,-0.08070750425769242,-0.10839923001878343
119,0.23800000000000002,0.22836365352189913,2.5408422369992194,14.739529602162602,0.7232270073197781,-0.08173558287643257,-0.11009520695445456
120,0.24,0.23347476896468056,2.5702488580953284,14.666486842049002,0.732257179110368,-0.08274667886337429,-0.11178163080284667
121,0.242,0.23864454914856983,2.599505771856794,14.589825345766476,0.7411741468381728,-0.08373998931145073,-0.11345753912359578
122,0.244,0.24387268743388707,2.628605759577929,14.50956402839213,0.7499722248460738,-0.08471471454836202,-0.1151219646963971
123,0.246,0.24915886278196386,2.657541641272192,14.425722693205046,0.7586457401060573,-0.08567005868686131,-0.11677393601513264
124,0.248,0.25450273983435506,2.6863062774437534,14.338322026800128,0.7671890356140322,-0.08660523017430255,-0.11841247778612113
125,0.25,0.2599039689955835,2.7148925708490528,14.247383593984022,0.7755964737860395,-0.08751944234108983,-0.12003661143024807
126,0.252,0.2653621865193971,2.743293468247938,14.152929832454275,0.783862439853857,-0.08841191394766905,-0.12164535558873212
127,0.254,0.2708770145985183,2.7715019621439483,14.054984047263206,0.7919813452580088,-0.08928186972970349,-0.12323772663228123
